All|All
Reduced|Reduced visual acuity
Telecanthus|Telecanthus
Dystopia|Dystopia canthorum
Ptosis|Ptosis
Blepharoptosis|Blepharoptosis
EYELID|EYELID PTOSIS
Conjunctivitis|Conjunctivitis
Retinitis|Retinitis pigmentosa
Vertical|Vertical supranuclear gaze palsy
Abnormal|Abnormal electroretinogram
Abnormal|Abnormal electroretinogram (ERG)
Abnormal|Abnormal electroretinography
Abnormal|Abnormal ERG
ERG|ERG abnormal
Slow|Slow saccadic eye movements
Slow|Slow saccades
Abnormality|Abnormality of the lens
Cataract|Cataract
Cataracts|Cataracts
Lens|Lens opacities
Lens|Lens opacity
Congenital|Congenital cataract
Bilateral|Bilateral cataracts
Bilateral|Bilateral congenital cataracts
Cataract,|Cataract, congenital
Cataracts,|Cataracts, lenticular, bilateral
Congenital|Congenital cataracts
Congenital|Congenital cataracts, bilateral
Proptosis|Proptosis
Anterior|Anterior bulging of the globe
Exophthalmos|Exophthalmos
Ocular|Ocular proptosis
Prominent|Prominent eyes
Prominent|Prominent globes
Protruding|Protruding eyes
Abnormality|Abnormality of tear glands or tear production
Alacrima|Alacrima
Subcapsular|Subcapsular cataract
Subcapsular|Subcapsular cataracts
Subcapsular|Subcapsular lenticular cataracts
Subcapsular|Subcapsular opacities
Conjunctival|Conjunctival telangiectasia
Conjunctival|Conjunctival telangiectases
Telangiectasia,|Telangiectasia, conjunctival
Abnormality|Abnormality of the iris
Aniridia|Aniridia
Long|Long eyelashes
Ciliary|Ciliary trichomegaly
Unusually|Unusually long eyelashes
Anophthalmia|Anophthalmia
Anophthalmia,|Anophthalmia, clinical
Clinical|Clinical anophthalmia, unilateral/bilateral
Progressive|Progressive visual loss
Loss|Loss of visual acuity
Progressive|Progressive loss of vision
Progressive|Progressive vision loss
Progressive|Progressive visual acuity loss
Progressive|Progressive visual impairment
Slowly|Slowly progressive visual loss
Visual|Visual loss, progressive
Corneal|Corneal crystals
Chorioretinal|Chorioretinal abnormality
Chorioretinal|Chorioretinal atrophy
Chorioretinal|Chorioretinal degeneration
Chorioretinal|Chorioretinal thinning
Abnormality|Abnormality of the eyebrow
Sparse|Sparse eyebrow
Hypotrichosis|Hypotrichosis of eyebrow
Thin|Thin eyebrows
Thin,|Thin, sparse eyebrows
Epicanthus|Epicanthus inversus
Pseudopapilledema|Pseudopapilledema
Abnormality|Abnormality of refraction
Hypermetropia|Hypermetropia
Farsightedness|Farsightedness
Hyperopia|Hyperopia
Long-sightedness.|Long-sightedness.
Retinal|Retinal detachment
Detached|Detached retina
Impaired|Impaired ocular adduction
Optic|Optic disc pallor
Pale|Pale optic disc
Pale|Pale optic disk
External|External ophthalmoplegia
Ophthalmoplegia|Ophthalmoplegia externa
Myopia|Myopia
Retinal|Retinal degeneration
Tapetoretinal|Tapetoretinal degeneration
Cone-rod|Cone-rod dystrophy
Cone-rod|Cone-rod retinal dystrophy
Disconjugate|Disconjugate eye movements
Abnormal|Abnormal conjugate eye movement
Abolished|Abolished electroretinogram (ERG)
Abolished|Abolished electroretinogram
Absent|Absent electroretinogram
Extinction|Extinction of electroretinogram
Extinguished|Extinguished electroretinogram
No|No light-evoked response on electroretinogram
Abnormality|Abnormality of color vision
Abnormal|Abnormal color vision
Tritanomaly|Tritanomaly
Blue-yellow|Blue-yellow dyschromatopsia
Dyschromatopsia,|Dyschromatopsia, blue-yellow
Abnormality|Abnormality of the uvea
Uveitis|Uveitis
Leukocoria|Leukocoria
Retinal|Retinal dystrophy
Buphthalmos|Buphthalmos
Rieger|Rieger anomaly
Corneal|Corneal scarring
Absent|Absent eyelashes
Atrichia|Atrichia of eyelashes
Keratoconus|Keratoconus
Lacrimal|Lacrimal duct atresia
Imperforate|Imperforate nasolacrimal ducts
Nasolacrimal|Nasolacrimal duct atresia
Esotropia|Esotropia
Convergent|Convergent strabismus
Chorioretinal|Chorioretinal coloboma
Choroidoretinal|Choroidoretinal coloboma
Microphthalmos|Microphthalmos
Microphthalmia|Microphthalmia
Abnormality|Abnormality of saccadic eye movements
Hypometric|Hypometric saccades
Visual|Visual loss
Loss|Loss of vision
Retinal|Retinal hemorrhage
Retinal|Retinal bleeding
Retinal|Retinal hemorrhages
Thick|Thick eyebrow
Broad|Broad bushy eyebrows
Bushy|Bushy eyebrows
Dense|Dense eyebrow
Heavy|Heavy eyebrows
Hypertrichosis|Hypertrichosis of the eyebrow
Prominent|Prominent eyebrows
Thick|Thick eyebrows
Scotoma|Scotoma
Centrocecal|Centrocecal scotoma
Exotropia|Exotropia
Nasolacrimal|Nasolacrimal duct obstruction
Lacrimal|Lacrimal duct obstruction
Pigmentary|Pigmentary retinopathy
Blepharophimosis|Blepharophimosis
Narrow|Narrow palpebral fissures
Short|Short palpebral fissure
Short|Short palpebral fissures
Upslanted|Upslanted palpebral fissure
Mongoloid|Mongoloid slant
Upslanting|Upslanting palpebral fissures
Upward|Upward slanted palpebral fissures
Upward|Upward slanting of palpebral fissures
Upward|Upward slanting palpebral fissures
Punctate|Punctate corneal epithelial erosions
Band|Band keratopathy
Calcific|Calcific band keratopathy
Shallow|Shallow orbits
Small|Small shallow orbits
Abnormality|Abnormality of the optic nerve
Optic|Optic nerve coloboma
Coloboma|Coloboma of optic nerve
Optic|Optic disk coloboma
Coloboma|Coloboma
Ocular|Ocular coloboma
Ocular|Ocular colobomas
Progressive|Progressive external ophthalmoplegia
External|External ophthalmoplegia, progressive (PEO)
Abnormality|Abnormality of the sclera
Blue|Blue sclerae
Blue|Blue sclera
Bluish|Bluish sclerae
Abnormality|Abnormality of the anterior chamber
Anterior|Anterior chamber anomalies
Ocular|Ocular anterior chamber abnormality
Shallow|Shallow anterior chamber
Ophthalmoparesis|Ophthalmoparesis
Extraocular|Extraocular muscle palsy
Extraocular|Extraocular muscle paralysis
Abnormality|Abnormality of the ear
Ear|Ear anomaly
Abnormality|Abnormality of the frontal hairline
Abnormality|Abnormality of the pharynx
Hypotelorism|Hypotelorism
Closely|Closely spaced eyes
Ocular|Ocular hypotelorism
Ophthalmoplegia|Ophthalmoplegia
Central|Central scotoma
Central|Central scotomata
Supranuclear|Supranuclear gaze palsy
Supranuclear|Supranuclear gaze paralysis
Abnormality|Abnormality of the periorbital region
Periorbital|Periorbital wrinkles
Excess|Excess periorbital skin wrinkling
Periorbital|Periorbital wrinkling
Macular|Macular degeneration
Pigmented|Pigmented macular degeneration
Optic|Optic nerve hypoplasia
Hypoplastic|Hypoplastic optic nerves
Abnormality|Abnormality of the choroid
Choroid|Choroid coloboma
Choroidal|Choroidal coloboma
Coloboma|Coloboma of choroid 
Iris|Iris coloboma
Coloboma|Coloboma of iris
Coloboma|Coloboma of the iris
Keyhole|Keyhole iris
Photophobia|Photophobia
Abnormality|Abnormality of the nasolacrimal system
Abnormality|Abnormality of the pupil
Pupillary|Pupillary abnormalities
Miosis|Miosis
Abnormality|Abnormality of ocular smooth pursuit
Abnormal|Abnormal smooth pursuits
Disrupted|Disrupted ocular pursuit movements
Impaired|Impaired smooth pursuit ocular movements
Irregular|Irregular visual pursuit movements
Blindness|Blindness
Impaired|Impaired convergence
Dacrocystitis|Dacrocystitis
Entropion|Entropion
Blurred|Blurred vision
Supranuclear|Supranuclear ophthalmoplegia
Cleft|Cleft eyelid
Eyelid|Eyelid coloboma
Notched|Notched eyelid.
Posterior|Posterior embryotoxon
Embryotoxon|Embryotoxon
Periorbital|Periorbital fullness
Periorbital|Periorbital puffiness
Abnormality|Abnormality of retinal arteries
Retinal|Retinal arterial abnormality
Retinal|Retinal arterial tortuosity
Lacrimation|Lacrimation abnormality
Decreased|Decreased lacrimation
Impaired|Impaired ocular abduction
Blue|Blue irides
Blue|Blue eyes
Upper|Upper eyelid coloboma
Upper|Upper eyelid colobomas
Long|Long palpebral fissure
Wide|Wide palpebral fissures
Nystagmus|Nystagmus
Gaze-evoked|Gaze-evoked nystagmus
Dysmetric|Dysmetric saccades
Red-green|Red-green dyschromatopsia
Dyschromatopsia|Dyschromatopsia with red-green confusion
Blepharospasm|Blepharospasm
Amblyopia|Amblyopia
Sclerocornea|Sclerocornea
Optic|Optic atrophy
Optic|Optic nerve atrophy
Optic-nerve|Optic-nerve degeneration
Abnormality|Abnormality of vision evoked potentials
Abnormal|Abnormal visual evoked potential
Abnormal|Abnormal visual evoked potentials
Abnormal|Abnormal visual evoked responses
Abnormal|Abnormal visual-evoked potentials
VEP|VEP abnormalities
Reduced|Reduced amplitude of pattern visual evoked potentials
Diplopia|Diplopia
Double|Double vision
Lower|Lower eyelid coloboma
Coloboma|Coloboma of  lower eyelid
Lower|Lower lid coloboma
Sparse|Sparse eyelashes
Partial|Partial to total absence of eyelashes
Scant|Scant eyelashes
Scant-absent|Scant-absent eyelashes
Scanty|Scanty eyelashes
Sparse/absent|Sparse/absent eyebrows
Sparse/absent|Sparse/absent eyelashes
Thin,|Thin, sparse eyelashes
Decreased|Decreased electroretinogram (ERG) amplitude
Decreased|Decreased amplitudes on flash visual electroretinogram
Decreased|Decreased electroretinogram
Decreased|Decreased electroretinogram response
Flattened|Flattened or absent electroretinogram
Reduced|Reduced electroretinogram
Reduced|Reduced electroretinogram (ERG)
Reduced|Reduced or abolished electroretinogram
Vitreoretinal|Vitreoretinal degeneration
Ectropion|Ectropion
Oculomotor|Oculomotor apraxia
Ocular|Ocular motor apraxia
Eyelid|Eyelid apraxia
Peters|Peters anomaly
Lipemia|Lipemia retinalis
Palpebral|Palpebral fissure narrowing on adduction
Night|Night blindness
Nyctalopia|Nyctalopia
Enophthalmos|Enophthalmos
Synophrys|Synophrys
Synophris|Synophris
Unibrow|Unibrow
Horizontal|Horizontal nystagmus
Nystagmus,|Nystagmus, horizontal
Phthisis|Phthisis bulbi
Hypodontia|Hypodontia
Carious|Carious teeth
Caries|Caries
Dental|Dental caries
Early|Early dental caries
Frequent|Frequent caries
Anodontia|Anodontia
Dental|Dental agenesis
Macrodontia|Macrodontia of permanent maxillary central incisor
Long|Long maxillary central incisors
Prominent|Prominent upper incisors
Prominent,|Prominent, protruding upper incisors
Abnormality|Abnormality of the incisor
Oligodontia|Oligodontia
Partial|Partial anodontia
Dental|Dental crowding
Crowded|Crowded teeth
Dental|Dental overcrowding
Taurodontia|Taurodontia
Taurodontism|Taurodontism
Delayed|Delayed eruption of primary teeth
Delayed|Delayed eruption of deciduous teeth
Delayed|Delayed primary teeth eruption
Abnormality|Abnormality of dental enamel
Abnormal|Abnormal tooth enamel
Enamel|Enamel abnormalities
Enamel|Enamel abnormality
Grayish|Grayish enamel
Greyish|Greyish enamel
Delayed|Delayed eruption of teeth
Delayed|Delayed dental development
Delayed|Delayed dental eruption
Delayed|Delayed eruption
Delayed|Delayed teeth eruption
Delayed|Delayed tooth eruption
Eruption,|Eruption, delayed
Late|Late eruption of teeth
Late|Late tooth eruption
Hypoplasia|Hypoplasia of teeth
Hypoplastic|Hypoplastic teeth
Widely|Widely spaced teeth
Multiple|Multiple diastemata
Wide-spaced|Wide-spaced teeth
Widely-spaced|Widely-spaced teeth
Dental|Dental malocclusion
Malocclusion|Malocclusion
Agenesis|Agenesis of maxillary lateral incisor
Absent|Absent upper lateral incisors
Microdontia|Microdontia
Small|Small teeth
Misalignment|Misalignment of teeth
Abnormal|Abnormal dental position
Abnormal|Abnormal teeth spacing
Abnormality|Abnormality of teeth spacing
Malaligned|Malaligned teeth
Malposition|Malposition of teeth
Malpositioned|Malpositioned teeth
Shell|Shell teeth
Natal|Natal tooth
Natal|Natal teeth
Neonatal|Neonatal teeth
Delayed|Delayed eruption of permanent teeth
Delayed|Delayed eruption of secondary teeth
Delayed|Delayed permanent dentition
Conical|Conical teeth
Diastema|Diastema
Periapical|Periapical radiolucency
Dentinogenesis|Dentinogenesis imperfecta
Periodontitis|Periodontitis
Amelogenesis|Amelogenesis imperfecta
Unerupted|Unerupted tooth
Abnormality|Abnormality of the nervous system
Neurologic|Neurologic abnormalities
Neurological|Neurological abnormality
Behavioural/Psychiatric|Behavioural/Psychiatric Abnormality
Behavioral|Behavioral changes
Behavioral|Behavioral disorders
Behavioral|Behavioral disturbances
Behavioral|Behavioral problems
Behavioral/psychiatric|Behavioral/psychiatric abnormalities
Psychiatric|Psychiatric disorders
Psychiatric|Psychiatric disturbances
Psychosis|Psychosis
Hyperorality|Hyperorality
Hyperoralia|Hyperoralia
Restlessness|Restlessness
Emotional|Emotional lability
Emotional|Emotional instability
Agitation|Agitation
Depression|Depression
Autism|Autism
Aggressive|Aggressive behavior
Aggression|Aggression
Aggressive|Aggressive behaviour
Aggressiveness|Aggressiveness
Inappropriate|Inappropriate behavior
Mood|Mood swings
Lack|Lack of spontaneous play
Obsessive-compulsive|Obsessive-compulsive disorder
Obsessive|Obsessive compulsive disorder
Obsessive-compulsive|Obsessive-compulsive behavior
Restrictive|Restrictive behavior
Restrictive|Restrictive behaviour
Psychotic|Psychotic episodes
Dementia|Dementia
Dementia,|Dementia, progressive
Progressive|Progressive dementia
Frontal|Frontal lobe dementia
Impaired|Impaired ability to form peer relationships
Autism|Autism spectrum disorder
Pervasive|Pervasive developmental disorder
Inflexible|Inflexible adherence to routines or rituals
Stereotypic|Stereotypic behavior
Perseverative|Perseverative behavior
Stereotyped|Stereotyped behavior
Stereotyped,|Stereotyped, repetitive behaviour
Stereotypic|Stereotypic behaviors
Stereotypical|Stereotypical motor behaviors
Stereotypy|Stereotypy
Sterotyped|Sterotyped behavior
Disinhibition|Disinhibition
Impaired|Impaired social interactions
Impaired|Impaired social interaction
Poor|Poor social interactions
Short|Short attention span
Poor|Poor attention span
Irritability|Irritability
Hallucinations|Hallucinations
Hallucination|Hallucination
Anxiety|Anxiety
Anxiety|Anxiety (with pheochromocytoma)
Apathy|Apathy
Self-mutilation|Self-mutilation
Self|Self mutilation
Frontal|Frontal release signs
Frontal|Frontal release reflexes
Low|Low frustration tolerance
Lack|Lack of motivation
Delusions|Delusions
Inappropriate|Inappropriate laughter
Paroxysmal|Paroxysmal bursts of laughter
Paroxysmal|Paroxysmal laughter
Delayed|Delayed speech and language development
Deficiency|Deficiency of speech development
Delayed|Delayed language development
Delayed|Delayed speech acquisition
Delayed|Delayed speech development
Impaired|Impaired speech and language development
Impaired|Impaired speech development
Language|Language delay
Language|Language delayed
Language|Language development deficit
Late-onset|Late-onset speech development
Poor|Poor language development
Speech|Speech and language delay
Speech|Speech and language difficulties
Speech|Speech delay
Personality|Personality changes
Personality|Personality change
Hyperactivity|Hyperactivity
Hyperactive|Hyperactive behavior
Autism|Autism with high cognitive abilities
Agoraphobia|Agoraphobia
Lack|Lack of insight
Impaired|Impaired use of nonverbal behaviors
Impaired|Impaired use of nonverbal behaviours
Abnormality|Abnormality of the peripheral nervous system
Decreased|Decreased nerve conduction velocity
Abnormal|Abnormal nerve conduction
Decreased|Decreased nerve conduction velocities (NCV)
Delayed|Delayed nerve conduction velocity
Nerve|Nerve conduction abnormalities
Reduced|Reduced nerve conduction velocities
Slow|Slow nerve conduction velocity
Slowed|Slowed nerve conduction velocities
Sensory|Sensory neuropathy
Peripheral|Peripheral sensory neuropathy
Peripheral|Peripheral axonal degeneration
Abnormality|Abnormality of the thorax
Abnormality|Abnormality of the sternum
Pectus|Pectus carinatum or pectus excavatum
Pectus|Pectus deformities
Pectus|Pectus deformity
Pectus|Pectus excavatum or carinatum
Pectus|Pectus excavatum or pectus carinatum
Pectus|Pectus excavatum/carinatum
Sternal|Sternal anomalies
Pectus|Pectus excavatum
Funnel|Funnel chest
Pectus|Pectus carinatum
Abnormality|Abnormality of the breast
Gynecomastia|Gynecomastia
Gynaecomastia|Gynaecomastia
Abnormality|Abnormality of the ribs
Rib|Rib abnormalities
Rib|Rib anomalies
Short|Short ribs
Hypoplastic|Hypoplastic ribs
Rib|Rib hypoplasia
Narrow|Narrow chest
Low|Low chest circumference
Narrow|Narrow shoulders
Narrow|Narrow thorax
Reduced|Reduced anterior-posterior chest diameter
Abnormality|Abnormality of the diaphragm
Diaphragmatic|Diaphragmatic defect
Congenital|Congenital diaphragmatic hernia
Diaphragmatic|Diaphragmatic hernia
Abnormality|Abnormality of the thymus
Thymic|Thymic hypoplasia
Hypoplasia|Hypoplasia of the thymus
Thymus|Thymus hypoplasia
Abnormality|Abnormality of the scapula
Primary|Primary amenorrhea
Nephrolithiasis|Nephrolithiasis
Kidney|Kidney stones
Renal|Renal calculi
Renal|Renal stones
Infertility|Infertility
Hematuria|Hematuria
Uric|Uric acid nephrolithiasis
Uric|Uric acid urolithiasis
Kidney|Kidney malformation
Renal|Renal malformation
Structural|Structural kidney abnormalities
Structural|Structural renal anomalies
Membranoproliferative|Membranoproliferative glomerulonephritis
